Date,Open,High,Low,Close,Volume
11/20/2024,"52.29","52.32","50.60","51.52","13,117,620"
11/19/2024,"50.53","53.16","50.53","52.24","9,487,447"
11/18/2024,"51.00","51.25","50.21","51.03","14,484,490"
11/15/2024,"52.50","52.53","50.68","50.73","9,122,580"
11/14/2024,"52.37","53.57","51.82","52.73","6,913,566"
11/13/2024,"54.45","54.65","52.91","53.14","8,333,890"
11/12/2024,"54.15","55.09","54.10","54.38","10,280,630"
11/11/2024,"52.45","55.10","52.38","54.56","12,354,530"
11/08/2024,"52.88","54.07","52.17","52.40","8,165,613"
11/07/2024,"52.88","53.66","51.85","53.11","7,974,557"
11/06/2024,"51.99","53.00","50.85","52.90","8,570,916"
11/05/2024,"49.92","51.61","49.61","51.18","10,265,810"
11/04/2024,"52.74","53.07","49.97","50.00","19,491,439"
11/01/2024,"51.11","52.07","50.66","51.44","12,925,150"
10/31/2024,"51.12","52.65","48.00","51.72","37,475,793"
10/30/2024,"42.72","43.54","42.36","43.14","6,682,811"
10/29/2024,"42.15","42.96","41.50","42.61","5,487,389"
10/28/2024,"42.59","43.15","42.18","42.30","5,830,532"
10/25/2024,"42.14","42.50","41.94","42.14","7,142,449"
10/24/2024,"41.43","41.94","41.17","41.78","4,923,055"
10/23/2024,"42.40","43.00","41.13","41.16","5,882,382"
10/22/2024,"40.84","41.66","40.57","41.29","6,027,097"
10/21/2024,"39.50","40.37","39.46","40.31","4,626,917"
10/18/2024,"39.99","40.16","39.30","39.93","5,751,502"
10/17/2024,"41.68","41.75","39.83","39.86","5,973,375"
10/16/2024,"40.74","41.71","40.52","41.39","5,360,569"
10/15/2024,"40.95","41.39","40.39","40.76","6,115,309"
10/14/2024,"41.66","41.72","39.93","40.79","7,192,131"
10/11/2024,"41.32","41.65","41.10","41.60","4,436,464"
10/10/2024,"41.35","42.13","41.21","41.40","6,463,105"
10/09/2024,"40.61","42.37","40.56","41.74","10,691,270"
10/08/2024,"37.65","40.52","37.50","40.51","30,320,580"
10/07/2024,"41.81","41.94","41.27","41.39","6,662,791"
10/04/2024,"42.64","42.70","40.88","41.99","8,199,502"
10/03/2024,"43.01","43.32","41.81","42.18","7,790,190"
10/02/2024,"43.32","43.85","42.88","43.39","6,515,335"
10/01/2024,"44.38","44.46","42.86","43.53","4,922,720"
09/30/2024,"44.08","44.64","43.90","44.26","4,187,374"
09/27/2024,"44.63","45.05","43.76","44.18","6,093,694"
09/26/2024,"47.81","47.93","44.61","44.87","7,965,950"
09/25/2024,"47.45","48.43","47.26","47.64","7,828,352"
09/24/2024,"45.31","47.21","45.17","47.11","9,528,658"
09/23/2024,"46.26","46.44","45.10","45.53","9,134,790"
09/20/2024,"45.99","46.56","45.54","46.03","7,791,371"
09/19/2024,"46.15","46.85","45.66","46.30","7,080,337"
